2024-03-16-13-58-15, count:446, damage:-2159
2024-03-16-13-58-51, count:447, damage:-2062
2024-03-16-13-59-55, count:448, damage:-168
2024-03-16-14-00-24, count:449, damage:-1945
2024-03-16-14-00-59, count:450, damage:-948
2024-03-16-14-01-30, count:451, damage:-207
2024-03-16-14-02-05, count:452, damage:244
2024-03-16-14-02-52, count:453, damage:-2275
2024-03-16-14-04-01, count:454, damage:-1936
2024-03-16-14-05-01, count:455, damage:-2392
2024-03-16-14-06-10, count:456, damage:-198
2024-03-16-14-06-41, count:457, damage:-1040
2024-03-16-14-07-11, count:458, damage:-992
2024-03-16-14-07-43, count:459, damage:-1833
2024-03-16-14-08-14, count:460, damage:-2043
2024-03-16-14-09-22, count:461, damage:-688
2024-03-16-14-09-53, count:462, damage:-184
2024-03-16-14-10-22, count:463, damage:-2137
2024-03-16-14-11-06, count:464, damage:-212
2024-03-16-14-11-39, count:465, damage:-2356
2024-03-16-14-12-18, count:466, damage:-2189
2024-03-16-14-13-20, count:467, damage:-2219
2024-03-16-14-14-27, count:468, damage:-1848
2024-03-16-14-15-24, count:469, damage:2715
2024-03-16-14-17-56, count:470, damage:-972
2024-03-16-14-18-29, count:471, damage:-198
2024-03-16-14-19-05, count:472, damage:-180
2024-03-16-14-19-40, count:473, damage:-2100
2024-03-16-14-20-18, count:474, damage:-1972
2024-03-16-14-20-50, count:475, damage:-979
2024-03-16-14-21-31, count:476, damage:-2205
2024-03-16-14-22-24, count:477, damage:-172
2024-03-16-14-23-09, count:478, damage:-152
2024-03-16-14-23-41, count:479, damage:-2018
2024-03-16-14-24-10, count:480, damage:-2262
2024-03-16-14-24-49, count:481, damage:-180
2024-03-16-14-25-18, count:482, damage:-2344
2024-03-16-14-26-12, count:483, damage:-884
2024-03-16-14-26-42, count:484, damage:-802
2024-03-16-14-27-41, count:485, damage:0
2024-03-16-14-28-38, count:486, damage:0
2024-03-16-14-29-35, count:487, damage:0
2024-03-16-14-30-06, count:488, damage:-1883
2024-03-16-14-30-34, count:489, damage:-2032
2024-03-16-14-31-08, count:490, damage:-197
2024-03-16-14-31-44, count:491, damage:-2327
2024-03-16-14-32-13, count:492, damage:-2357
2024-03-16-14-32-45, count:493, damage:-907
2024-03-16-14-33-16, count:494, damage:-1970
2024-03-16-14-33-45, count:495, damage:-2042
2024-03-16-14-34-22, count:496, damage:-980
2024-03-16-14-34-59, count:497, damage:-196
2024-03-16-14-35-31, count:498, damage:-1804
2024-03-16-14-36-10, count:499, damage:-180
2024-03-16-14-36-39, count:500, damage:-2157
2024-03-16-14-37-12, count:501, damage:-1971
2024-03-16-14-38-08, count:502, damage:-203
2024-03-16-14-38-49, count:503, damage:-938
2024-03-16-14-39-18, count:504, damage:-2248
2024-03-16-14-40-05, count:505, damage:-2044
2024-03-16-14-41-03, count:506, damage:-188
2024-03-16-14-41-38, count:507, damage:-801
2024-03-16-14-42-14, count:508, damage:-1908
2024-03-16-14-42-44, count:509, damage:-189
2024-03-16-14-43-13, count:510, damage:-1684
2024-03-16-14-43-41, count:511, damage:-185
2024-03-16-14-44-12, count:512, damage:-194
2024-03-16-14-44-45, count:513, damage:-899
2024-03-16-14-45-13, count:514, damage:-190
2024-03-16-14-45-45, count:515, damage:-2096
2024-03-16-14-46-16, count:516, damage:-2084
2024-03-16-14-46-48, count:517, damage:-2244
2024-03-16-14-47-34, count:518, damage:-1910
2024-03-16-14-48-35, count:519, damage:-1989
2024-03-16-14-49-31, count:520, damage:-2184
2024-03-16-14-50-41, count:521, damage:-204
2024-03-16-14-51-13, count:522, damage:-2059
2024-03-16-14-51-52, count:523, damage:-1794
2024-03-16-14-52-51, count:524, damage:-2239
2024-03-16-14-53-57, count:525, damage:-199
2024-03-16-14-54-29, count:526, damage:-207
2024-03-16-14-54-58, count:527, damage:-188
2024-03-16-14-55-33, count:528, damage:-177
2024-03-16-14-56-02, count:529, damage:-2031
2024-03-16-14-56-39, count:530, damage:-164
2024-03-16-14-57-10, count:531, damage:-197
2024-03-16-14-57-43, count:532, damage:-204
2024-03-16-14-58-16, count:533, damage:-1804
2024-03-16-14-58-45, count:534, damage:-2270
2024-03-16-14-59-32, count:535, damage:-862
2024-03-16-15-00-03, count:536, damage:-139
2024-03-16-15-00-43, count:537, damage:2596
2024-03-16-15-02-15, count:538, damage:0
2024-03-16-15-03-12, count:539, damage:0
2024-03-16-15-03-41, count:540, damage:-2228
2024-03-16-15-04-12, count:541, damage:-2092
2024-03-16-15-04-42, count:542, damage:-876
2024-03-16-15-05-11, count:543, damage:-1960
2024-03-16-15-05-40, count:544, damage:-166
2024-03-16-15-06-14, count:545, damage:-202
2024-03-16-15-06-45, count:546, damage:-2180
2024-03-16-15-07-21, count:547, damage:-1841
2024-03-16-15-08-00, count:548, damage:-964
2024-03-16-15-08-35, count:549, damage:-828
2024-03-16-15-09-07, count:550, damage:-2299
2024-03-16-15-09-47, count:551, damage:-180
2024-03-16-15-10-20, count:552, damage:-883
2024-03-16-15-10-55, count:553, damage:-196
2024-03-16-15-11-30, count:554, damage:-192
2024-03-16-15-12-10, count:555, damage:-2188
2024-03-16-15-12-42, count:556, damage:-1929
2024-03-16-15-13-22, count:557, damage:-174
2024-03-16-15-14-05, count:558, damage:-870
2024-03-16-15-14-35, count:559, damage:-857
2024-03-16-15-15-08, count:560, damage:-883
2024-03-16-15-15-37, count:561, damage:-2207
2024-03-16-15-16-11, count:562, damage:-1857
2024-03-16-15-16-43, count:563, damage:-2096
2024-03-16-15-17-13, count:564, damage:-199
2024-03-16-15-17-42, count:565, damage:-1952
2024-03-16-15-18-18, count:566, damage:-2117
2024-03-16-15-18-51, count:567, damage:-2157
2024-03-16-15-19-56, count:568, damage:-2091
2024-03-16-15-21-37, count:569, damage:-181
2024-03-16-15-22-13, count:570, damage:-1864
2024-03-16-15-22-51, count:571, damage:-191
2024-03-16-15-23-23, count:572, damage:-1848
